TC-ID,軸,REQ-ID,前提の状態,操作,期待する結果,判定のしかた,自動か手動か,実測,証跡,判定
TC-0218,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),改行入り を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。改行入り で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0219,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),前後に空白 を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。前後に空白 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0220,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),全角と半角 を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。全角と半角 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0221,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),絵文字と多言語 を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。絵文字と多言語 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0222,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),"記号と引用符 (' "" < > &) を入れる","規則: 未チェック既定。チェック時のみ marketingOptInAt。記号と引用符 (' "" < > &) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0223,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),同じ値の再投入 を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。同じ値の再投入 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0224,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),貼り付けでの一括入力 を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。貼り付けでの一括入力 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0225,C 入力,REQ-048,入力欄=同意チェック (SCR-11d),null/undefined を入れる,規則: 未チェック既定。チェック時のみ marketingOptInAt。null/undefined で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0226,C 入力,REQ-062,入力欄=退会の確認語,空 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。空 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0227,C 入力,REQ-062,入力欄=退会の確認語,空白のみ を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。空白のみ で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0228,C 入力,REQ-062,入力欄=退会の確認語,最小 (1 文字) を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。最小 (1 文字) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0229,C 入力,REQ-062,入力欄=退会の確認語,最小未満 (0) を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。最小未満 (0) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0230,C 入力,REQ-062,入力欄=退会の確認語,最大 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。最大 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0231,C 入力,REQ-062,入力欄=退会の確認語,最大超え を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。最大超え で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0232,C 入力,REQ-062,入力欄=退会の確認語,型違い (数値/配列) を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。型違い (数値/配列) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0233,C 入力,REQ-062,入力欄=退会の確認語,負の値 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。負の値 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0234,C 入力,REQ-062,入力欄=退会の確認語,ゼロ を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。ゼロ で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0235,C 入力,REQ-062,入力欄=退会の確認語,極端に長い文 (10 万字) を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。極端に長い文 (10 万字) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0236,C 入力,REQ-062,入力欄=退会の確認語,改行入り を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。改行入り で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0237,C 入力,REQ-062,入力欄=退会の確認語,前後に空白 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。前後に空白 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0238,C 入力,REQ-062,入力欄=退会の確認語,全角と半角 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。全角と半角 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0239,C 入力,REQ-062,入力欄=退会の確認語,絵文字と多言語 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。絵文字と多言語 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0240,C 入力,REQ-062,入力欄=退会の確認語,"記号と引用符 (' "" < > &) を入れる","規則: 「退会」完全一致だけ通す。前後空白は trim。記号と引用符 (' "" < > &) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0241,C 入力,REQ-062,入力欄=退会の確認語,同じ値の再投入 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。同じ値の再投入 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0242,C 入力,REQ-062,入力欄=退会の確認語,貼り付けでの一括入力 を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。貼り付けでの一括入力 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0243,C 入力,REQ-062,入力欄=退会の確認語,null/undefined を入れる,規則: 「退会」完全一致だけ通す。前後空白は trim。null/undefined で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,オンボと退会の入力欄は要ログイン・実操作が要る,人へ: SCR-02b / SCR-11d / 退会で各観点を入力,人へ
TC-0244,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),空 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。空 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0245,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),空白のみ を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。空白のみ で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0246,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),最小 (1 文字) を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。最小 (1 文字) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0247,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),最小未満 (0) を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。最小未満 (0) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0248,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),最大 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。最大 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0249,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),最大超え を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。最大超え で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0250,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),型違い (数値/配列) を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。型違い (数値/配列) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0251,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),負の値 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。負の値 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0252,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),ゼロ を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。ゼロ で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0253,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),極端に長い文 (10 万字) を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。極端に長い文 (10 万字) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0254,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),改行入り を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。改行入り で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0255,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),前後に空白 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。前後に空白 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0256,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),全角と半角 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。全角と半角 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0257,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),絵文字と多言語 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。絵文字と多言語 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0258,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),"記号と引用符 (' "" < > &) を入れる","規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。記号と引用符 (' "" < > &) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0259,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),同じ値の再投入 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。同じ値の再投入 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0260,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),貼り付けでの一括入力 を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。貼り付けでの一括入力 で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0261,C 入力,REQ-030,入力欄=端末キー (ensureGuestUser),null/undefined を入れる,"規則: ^[A-Za-z0-9._:-]{8,128}$ 以外は error。null/undefined で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,"isDeviceKey の正規表現 ^[A-Za-z0-9._:-]{8,128}$ で境界は決まる。空/空白/短い/長い/改行/全角/絵文字/記号/null は error、最大 128 は通る",読解: app/actions/guestTry.ts isDeviceKey,読解
TC-0262,C 入力,REQ-101,入力欄=appAccountToken (purchase),空 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。空 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0263,C 入力,REQ-101,入力欄=appAccountToken (purchase),空白のみ を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。空白のみ で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0264,C 入力,REQ-101,入力欄=appAccountToken (purchase),最小 (1 文字) を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。最小 (1 文字) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0265,C 入力,REQ-101,入力欄=appAccountToken (purchase),最小未満 (0) を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。最小未満 (0) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0266,C 入力,REQ-101,入力欄=appAccountToken (purchase),最大 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。最大 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0267,C 入力,REQ-101,入力欄=appAccountToken (purchase),最大超え を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。最大超え で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0268,C 入力,REQ-101,入力欄=appAccountToken (purchase),型違い (数値/配列) を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。型違い (数値/配列) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0269,C 入力,REQ-101,入力欄=appAccountToken (purchase),負の値 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。負の値 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0270,C 入力,REQ-101,入力欄=appAccountToken (purchase),ゼロ を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。ゼロ で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0271,C 入力,REQ-101,入力欄=appAccountToken (purchase),極端に長い文 (10 万字) を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。極端に長い文 (10 万字) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0272,C 入力,REQ-101,入力欄=appAccountToken (purchase),改行入り を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。改行入り で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0273,C 入力,REQ-101,入力欄=appAccountToken (purchase),前後に空白 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。前後に空白 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0274,C 入力,REQ-101,入力欄=appAccountToken (purchase),全角と半角 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。全角と半角 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0275,C 入力,REQ-101,入力欄=appAccountToken (purchase),絵文字と多言語 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。絵文字と多言語 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0276,C 入力,REQ-101,入力欄=appAccountToken (purchase),"記号と引用符 (' "" < > &) を入れる","規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。記号と引用符 (' "" < > &) で落ちない・保存値が規則どおり・XSS にならない",playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0277,C 入力,REQ-101,入力欄=appAccountToken (purchase),同じ値の再投入 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。同じ値の再投入 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0278,C 入力,REQ-101,入力欄=appAccountToken (purchase),貼り付けでの一括入力 を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。貼り付けでの一括入力 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0279,C 入力,REQ-101,入力欄=appAccountToken (purchase),null/undefined を入れる,規則: UUID 以外は Swift が reject。JS は authUserId をそのまま渡す。null/undefined で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,JS は authUserId (UUID) をそのまま渡す。Swift は UUID(uuidString:) で弾く,"読解: StartClient.tsx, ArcodaStorePlugin.swift purchase",読解
TC-0280,C 入力,REQ-049,入力欄=プラン選択 (/start),空 を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。空 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0281,C 入力,REQ-049,入力欄=プラン選択 (/start),空白のみ を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。空白のみ で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0282,C 入力,REQ-049,入力欄=プラン選択 (/start),最小 (1 文字) を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。最小 (1 文字) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0283,C 入力,REQ-049,入力欄=プラン選択 (/start),最小未満 (0) を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。最小未満 (0) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0284,C 入力,REQ-049,入力欄=プラン選択 (/start),最大 を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。最大 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0285,C 入力,REQ-049,入力欄=プラン選択 (/start),最大超え を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。最大超え で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0286,C 入力,REQ-049,入力欄=プラン選択 (/start),型違い (数値/配列) を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。型違い (数値/配列) で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
TC-0287,C 入力,REQ-049,入力欄=プラン選択 (/start),負の値 を入れる,規則: yearly/monthly の 2 値。?plan=month で月額を初期選択。それ以外は年額。負の値 で落ちない・保存値が規則どおり・XSS にならない,playwright / scripts / 読解,半自動,?plan=month だけ月額、それ以外は年額 (start/page.tsx)。カードは 2 値,読解: app/start/page.tsx resumePlan,読解
